M HIP_ID Dist RA_J2000 DEC_J2000 V_MAG Parallax PM_RA PM_DEC CCDM Sp_Type HIP_ID_STR FLUX_J FLUX_H FLUX_K
M 17007 N/A 03:38:47.67 -27:56:34.9 6.01 7.81 21.55 25.85 -------- A0V hip17007 6.007999897003174 6.065000057220459 6.007999897003174
M 17030 N/A 03:39:02.90 -33:58:00.3 9.38 2.39 0.49 -0.19 -------- A0V hip17030 9.262999534606934 9.260000228881836 9.244000434875488
M 17453 N/A 03:44:28.21 +20:55:43.4 6.09 13.39 26.61 -13.8 -------- A0V hip17453 5.994999885559082 6.052999973297119 6.031000137329102
M 17588 N/A 03:46:02.90 +24:31:40.4 6.43 9.21 19.83 -44.38 -------- A0Vn hip17588 6.39900016784668 6.480000019073486 6.433000087738037
M 17623 N/A 03:46:31.67 -15:14:55.9 8.2 4.76 5.7 2.49 -------- A0V hip17623 8.102999687194824 8.12399959564209 8.098999977111816
M 17704 N/A 03:47:29.45 +24:17:18.0 6.83 9.05 17.84 -44.94 -------- A0V... hip17704 6.635000228881836 6.640999794006348 6.60699987411499
M 17718 N/A 03:47:40.09 +51:31:43.7 7.34 8.12 19.34 -27.48 -------- A0V hip17718 6.9029998779296875 6.954999923706055 6.870999813079834
M 17858 N/A 03:49:19.76 +57:07:05.7 6.46 6.14 28.3 -24.42 03494+5707 A0Vn hip17858 6.199999809265137 6.2129998207092285 6.204999923706055
M 17946 N/A 03:50:13.90 -18:44:45.6 7.38 5.69 -14.57 -7.87 -------- A0V hip17946 7.301000118255615 7.340000152587891 7.309000015258789
M 17971 N/A 03:50:32.03 +29:44:41.7 8.8 2.03 12.77 2.11 -------- A0V hip17971 8.005000114440918 7.980999946594238 7.88700008392334
M 18029 N/A 03:51:12.09 -18:54:38.2 8.69 1.73 5.7 -1.33 03512-1855 A0V+... hip18029 8.814000129699707 8.819000244140625 8.781000137329102
M 18356 N/A 03:55:27.01 -72:20:29.7 9.36 4.2 -20.09 -0.4 -------- A0V hip18356 9.157999992370605 9.12399959564209 9.154999732971191
M 18384 N/A 03:55:47.87 -52:14:52.3 7.89 3.74 0.14 4.32 -------- A0V hip18384 7.705999851226807 7.696000099182129 7.670000076293945
M 18437 N/A 03:56:29.37 -38:57:43.8 6.89 9.66 29.96 0.47 -------- A0V hip18437 6.848999977111816 6.86899995803833 6.861000061035156
M 18717 N/A 04:00:36.89 +17:17:47.9 6.31 3.53 2.57 -30.81 -------- A0V hip18717 6.064000129699707 6.090000152587891 6.073999881744385
M 18769 N/A 04:01:14.84 +36:59:22.0 6.39 8.74 -6.13 -2.72 -------- A0V hip18769 6.25600004196167 6.291999816894531 6.26800012588501
M 18819 N/A 04:01:58.33 -36:05:57.8 8.39 0.86 11.12 1.87 -------- A0V hip18819 8.288000106811523 8.291999816894531 8.28499984741211
M 18842 N/A 04:02:25.44 -70:16:19.6 8.59 4.27 9.72 5.56 -------- B9.5/A0V hip18842 8.265000343322754 8.276000022888184 8.210000038146973
M 19001 N/A 04:04:17.84 -19:28:09.3 7.71 4.5 -11.03 -4.57 -------- A0V hip19001 7.620999813079834 7.686999797821045 7.604000091552734
M 19053 N/A 04:04:56.27 -11:47:56.5 8.01 4.75 22.1 -1.84 -------- A0V hip19053 7.873000144958496 7.945000171661377 7.853000164031982
M 19578 N/A 04:11:43.71 -21:25:00.0 8.96 5.63 15.71 -9.26 -------- A0V hip19578 8.503000259399414 8.375 8.321000099182129
M 19813 N/A 04:14:57.14 +51:13:56.2 8.79 3.26 2.04 -2.8 -------- A0V hip19813 8.258000373840332 8.196999549865723 8.210000038146973
M 19827 N/A 04:15:06.08 -30:04:19.0 7.77 6.52 20.39 -3.01 04151-3004 A0V hip19827 7.669000148773193 7.7170000076293945 7.690000057220459
M 19898 N/A 04:16:05.96 -39:37:11.7 8.06 3.98 14.07 1.59 -------- A0Vn... hip19898 8.04800033569336 8.109000205993652 8.086000442504883
M 20050 N/A 04:17:59.17 -48:23:45.1 8.74 3.37 2.31 12.68 -------- A0V hip20050 8.704000473022461 8.729000091552734 8.6899995803833
M 20264 N/A 04:20:39.02 -20:38:22.6 5.38 7.05 26.13 -9.4 -------- A0V hip20264 5.429999828338623 5.4019999504089355 5.333000183105469
M 20379 N/A 04:21:50.29 -13:52:54.7 8.22 1.48 -1.69 1.27 -------- A0V hip20379 8.045000076293945 8.0649995803833 8.017000198364258
M 20404 N/A 04:22:06.47 -41:45:55.5 8.72 2.76 5.3 8.57 -------- A0V hip20404 8.71399974822998 8.739999771118164 8.770000457763672
M 20582 N/A 04:24:30.82 -44:01:14.1 8.26 3.76 7.05 16.94 -------- A0Vn hip20582 8.206999778747559 8.256999969482422 8.229999542236328
M 20784 N/A 04:27:06.44 -62:47:58.6 6.87 7.26 -6.5 13.73 -------- A0V hip20784 6.881999969482422 6.867000102996826 6.872000217437744
M 21020 N/A 04:30:26.69 -43:12:45.8 7.35 7.5 2.72 21.13 -------- A0V hip21020 7.328999996185303 7.355999946594238 7.308000087738037
M 21024 N/A 04:30:29.54 -43:24:38.2 7.27 6.46 2.37 22.28 -------- A0V hip21024 7.23199987411499 7.257999897003174 7.2170000076293945
M 21133 N/A 04:31:48.42 -24:06:36.8 7.86 4.23 1.86 -1.45 04318-2407 A0V hip21133 7.673999786376953 7.677000045776367 7.605000019073486
M 21146 N/A 04:31:59.79 -33:53:55.0 8.11 3.4 3.75 -0.76 -------- A0V hip21146 8.001999855041504 8.055999755859375 8.032999992370605
M 21207 N/A 04:32:57.18 -33:05:48.7 8.17 5.0 44.13 70.87 -------- A0V hip21207 8.107999801635742 8.220999717712402 8.114999771118164
M 21472 N/A 04:36:40.31 -22:16:46.7 8.29 2.19 -5.93 14.03 -------- A0V hip21472 7.894999980926514 7.776000022888184 7.754000186920166
M 21514 N/A 04:37:13.49 -22:36:53.6 7.86 6.21 17.93 -1.93 -------- A0V hip21514 7.791999816894531 7.809000015258789 7.785999774932861
M 21736 N/A 04:40:03.89 -22:36:50.9 8.72 4.37 6.35 6.21 -------- A0V hip21736 8.458999633789062 8.470999717712402 8.46399974822998
M 21823 N/A 04:41:24.13 +48:18:03.2 5.66 10.48 44.67 -44.2 -------- A0V hip21823 5.663000106811523 5.668000221252441 5.64900016784668
M 22136 N/A 04:45:49.67 -34:00:18.0 6.85 4.67 42.34 17.11 -------- A0V hip22136 6.803999900817871 6.833000183105469 6.790999889373779
